Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","12/11/2021 09:33 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=S7uCAi
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:,"2021,2021"
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2021,Egypt,EGY,Germany,DEU,2300,1305,0,,0,0
2021,Egypt,EGY,Ghana,GHA,0,16,0,,0,0
2021,Egypt,EGY,Greece,GRC,406,1511,0,,0,0
2021,Egypt,EGY,"China, Hong Kong SAR",HKG,14,0,0,,0,0
2021,Egypt,EGY,Croatia,HRV,8,6,0,,0,5
2021,Egypt,EGY,Hungary,HUN,11,0,0,,0,0
2021,Egypt,EGY,Iceland,ISL,10,0,0,,0,0
2021,Egypt,EGY,"Cote d'Ivoire",CIV,5,0,0,,0,0
2021,Egypt,EGY,India,IND,0,8,0,,0,0
2021,Egypt,EGY,Indonesia,IDN,18,20,0,,0,0
2021,Egypt,EGY,Ireland,IRL,45,63,0,,0,0
2021,Egypt,EGY,Iraq,IRQ,0,23,0,,0,0
2021,Egypt,EGY,Italy,ITA,810,998,0,,0,0
2021,Egypt,EGY,Jordan,JOR,126,515,0,,0,20
2021,Egypt,EGY,Kenya,KEN,0,18,0,,0,0
2021,Egypt,EGY,"Rep. of Korea",KOR,55,787,0,,0,0
2021,Egypt,EGY,Kuwait,KWT,6,19,0,,0,0
2021,Egypt,EGY,Lebanon,LBN,93,281,0,,0,25
2021,Egypt,EGY,Luxembourg,LUX,0,5,0,,0,0
2021,Egypt,EGY,Latvia,LVA,5,0,0,,0,0
2021,Egypt,EGY,Mexico,MEX,5,10,0,,0,0
2021,Egypt,EGY,Malaysia,MYS,19,79,0,,0,0
2021,Egypt,EGY,Morocco,MAR,5,9,0,,0,0
2021,Egypt,EGY,Malta,MLT,75,39,0,,0,0
2021,Egypt,EGY,Netherlands,NLD,314,74,0,,0,0
2021,Egypt,EGY,Nigeria,NGA,0,7,0,,0,0
2021,Egypt,EGY,Norway,NOR,50,0,0,,0,0
2021,Egypt,EGY,"New Zealand",NZL,32,5,0,,0,0
2021,Egypt,EGY,Philippines,PHL,0,5,0,,0,0
2021,Egypt,EGY,Poland,POL,40,5,0,,0,0
2021,Egypt,EGY,Portugal,PRT,0,5,0,,0,0
2021,Egypt,EGY,Qatar,QAT,13,21,0,,0,0
2021,Egypt,EGY,Romania,ROU,18,6,0,,0,0
2021,Egypt,EGY,"South Africa",ZAF,7,240,0,,0,0
2021,Egypt,EGY,"Russian Federation",RUS,5,0,0,,0,0
2021,Egypt,EGY,"Saudi Arabia",SAU,0,16,0,,0,0
2021,Egypt,EGY,Spain,ESP,75,210,0,,0,0
2021,Egypt,EGY,Sudan,SDN,17,11,0,,0,0
2021,Egypt,EGY,Slovakia,SVK,5,5,0,,0,0
2021,Egypt,EGY,Sweden,SWE,431,191,0,,0,0
2021,Egypt,EGY,Switzerland,CHE,129,15,0,,0,0
2021,Egypt,EGY,"Syrian Arab Rep.",SYR,32,10,0,,0,0
2021,Egypt,EGY,Thailand,THA,21,0,0,,0,0
2021,Egypt,EGY,Tunisia,TUN,0,13,0,,0,0
2021,Egypt,EGY,"United Arab Emirates",ARE,5,7,0,,0,10
2021,Egypt,EGY,Uganda,UGA,8,0,0,,0,0
2021,Egypt,EGY,Ukraine,UKR,5,15,0,,0,0
2021,Egypt,EGY,Uruguay,URY,0,5,0,,0,0
2021,Egypt,EGY,"United States of America",USA,14304,9203,0,,0,0
2021,Egypt,EGY,Yemen,YEM,16,10,0,,0,0
2021,Argentina,ARG,Australia,AUS,0,30,0,,0,0
2021,Argentina,ARG,"Bolivia (Plurinational State of)",BOL,13,0,0,,0,0
2021,Argentina,ARG,Brazil,BRA,6,157,0,,0,0
2021,Argentina,ARG,Canada,CAN,7,64,0,,0,0
2021,Argentina,ARG,"Costa Rica",CRI,0,21,0,,0,0
2021,Argentina,ARG,France,FRA,9,5,0,,0,0
2021,Argentina,ARG,"United Kingdom of Great Britain and Northern Ireland",GBR,0,22,0,,0,0
2021,Argentina,ARG,Germany,DEU,16,18,0,,0,0
2021,Argentina,ARG,Israel,ISR,0,5,0,,0,0
2021,Argentina,ARG,Italy,ITA,5,27,0,,0,0
2021,Argentina,ARG,"Rep. of Korea",KOR,0,8,0,,0,0
2021,Argentina,ARG,Mexico,MEX,5,133,0,,0,0
2021,Argentina,ARG,Netherlands,NLD,7,0,0,,0,0
2021,Argentina,ARG,Paraguay,PRY,0,9,0,,0,0
2021,Argentina,ARG,Peru,PER,0,14,0,,0,0
2021,Argentina,ARG,Spain,ESP,20,580,0,,0,0
2021,Argentina,ARG,Sudan,SDN,0,0,0,,0,5
2021,Argentina,ARG,Uruguay,URY,0,11,0,,0,0
2021,Argentina,ARG,"United States of America",USA,27,444,0,,0,0
2021,Armenia,ARM,Argentina,ARG,77,182,0,,0,0
2021,Armenia,ARM,Austria,AUT,345,195,0,,0,0
2021,Armenia,ARM,Belgium,BEL,134,154,0,,0,0
2021,Armenia,ARM,Belarus,BLR,5,0,0,,0,0
2021,Armenia,ARM,Brazil,BRA,5,8,0,,0,0
2021,Armenia,ARM,Bulgaria,BGR,12,14,0,,0,0
2021,Armenia,ARM,Canada,CAN,32,9,0,,0,0
2021,Armenia,ARM,Cyprus,CYP,26,17,0,,0,0
2021,Armenia,ARM,Czechia,CZE,28,10,0,,0,0
2021,Armenia,ARM,Denmark,DNK,78,0,0,,0,0
2021,Armenia,ARM,Estonia,EST,0,5,0,,0,0
2021,Armenia,ARM,France,FRA,4293,498,0,,0,0
2021,Armenia,ARM,"United Kingdom of Great Britain and Northern Ireland",GBR,61,13,0,,0,0
2021,Armenia,ARM,Germany,DEU,2706,2187,0,,0,0
2021,Armenia,ARM,Greece,GRC,12,40,0,,0,0
2021,Armenia,ARM,Hungary,HUN,39,0,0,,0,0
2021,Armenia,ARM,Ireland,IRL,14,6,0,,0,0
2021,Armenia,ARM,Israel,ISR,0,40,0,,0,0
2021,Armenia,ARM,Italy,ITA,213,91,0,,0,0
2021,Armenia,ARM,Lebanon,LBN,0,5,0,,0,0
2021,Armenia,ARM,Luxembourg,LUX,5,0,0,,0,0
2021,Armenia,ARM,"Rep. of Moldova",MDA,15,10,0,,0,0
2021,Armenia,ARM,Netherlands,NLD,172,13,0,,0,0
2021,Armenia,ARM,Norway,NOR,5,0,0,,0,0
2021,Armenia,ARM,Panama,PAN,0,5,0,,0,0
2021,Armenia,ARM,Poland,POL,5,25,0,,0,0
2021,Armenia,ARM,Portugal,PRT,5,0,0,,0,0
2021,Armenia,ARM,"Russian Federation",RUS,10,5,0,,0,0
2021,Armenia,ARM,Spain,ESP,45,225,0,,0,0
2021,Armenia,ARM,Slovakia,SVK,34,0,0,,0,0
2021,Armenia,ARM,Sweden,SWE,320,129,0,,0,0
2021,Armenia,ARM,Switzerland,CHE,161,21,0,,0,0
2021,Armenia,ARM,Ukraine,UKR,50,5,0,,0,0
2021,Armenia,ARM,"United States of America",USA,1301,4846,0,,0,0
2021,Australia,AUS,Canada,CAN,0,5,0,,0,0
2021,Australia,AUS,"United Kingdom of Great Britain and Northern Ireland",GBR,5,0,0,,0,0
2021,Australia,AUS,Germany,DEU,5,0,0,,0,0
2021,Australia,AUS,Malaysia,MYS,5,0,0,,0,0
2021,Australia,AUS,Sweden,SWE,0,5,0,,0,0
2021,Australia,AUS,"United States of America",USA,0,11,0,,0,0
2021,Austria,AUT,Germany,DEU,5,0,0,,0,0
2021,Austria,AUT,"United States of America",USA,13,0,0,,0,0
2021,Azerbaijan,AZE,Armenia,ARM,38774,5,0,,0,0
2021,Azerbaijan,AZE,Australia,AUS,9,12,0,,0,0
2021,Azerbaijan,AZE,Austria,AUT,163,133,0,,0,0
2021,Azerbaijan,AZE,Azerbaijan,AZE,0,0,653921,,0,0
2021,Azerbaijan,AZE,Belgium,BEL,87,40,0,,0,0
2021,Azerbaijan,AZE,Belarus,BLR,5,0,0,,0,0
2021,Azerbaijan,AZE,"Bosnia and Herzegovina",BIH,5,0,0,,0,0
2021,Azerbaijan,AZE,Canada,CAN,745,91,0,,0,0
2021,Azerbaijan,AZE,Czechia,CZE,23,0,0,,0,0
2021,Azerbaijan,AZE,Denmark,DNK,31,0,0,,0,0
2021,Azerbaijan,AZE,Estonia,EST,5,0,0,,0,0
